graph_index,num_nodes,num_edges,avg_node_degree,node_types_frequency,nodes_types,edge_types_frequency,edges_types,graph_label
22,23,54,2.347826086956522,"{'atom_type_0': 20, 'atom_type_1': 1, 'atom_type_2': 2}","{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 0, '17': 0, '18': 0, '19': 0, '20': 1, '21': 2, '22': 2}","{'bond_type_0': 42, 'bond_type_1': 8, 'bond_type_2': 4}","{'[0, 1]': 0, '[0, 5]': 0, '[1, 0]': 0, '[1, 2]': 0, '[2, 1]': 0, '[2, 3]': 0, '[3, 2]': 0, '[3, 4]': 0, '[3, 9]': 0, '[4, 3]': 0, '[4, 5]': 0, '[4, 6]': 0, '[5, 0]': 0, '[5, 4]': 0, '[6, 4]': 0, '[6, 7]': 0, '[7, 6]': 0, '[7, 8]': 0, '[8, 7]': 0, '[8, 9]': 0, '[8, 17]': 0, '[9, 3]': 0, '[9, 8]': 0, '[9, 10]': 0, '[10, 9]': 0, '[10, 11]': 0, '[11, 10]': 0, '[11, 12]': 0, '[11, 16]': 0, '[12, 11]': 0, '[12, 13]': 0, '[13, 12]': 0, '[13, 14]': 0, '[14, 13]': 0, '[14, 15]': 0, '[15, 14]': 0, '[15, 16]': 0, '[15, 19]': 1, '[16, 11]': 0, '[16, 15]': 0, '[16, 17]': 0, '[17, 8]': 0, '[17, 16]': 0, '[17, 18]': 1, '[18, 17]': 1, '[18, 19]': 2, '[19, 15]': 1, '[19, 18]': 2, '[19, 20]': 1, '[20, 19]': 1, '[20, 21]': 2, '[20, 22]': 1, '[21, 20]': 2, '[22, 20]': 1}",1
23,27,66,2.4444444444444446,"{'atom_type_0': 24, 'atom_type_1': 1, 'atom_type_2': 2}","{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 0, '17': 0, '18': 0, '19': 0, '20': 0, '21': 0, '22': 0, '23': 0, '24': 1, '25': 2, '26': 2}","{'bond_type_0': 60, 'bond_type_1': 4, 'bond_type_2': 2}","{'[0, 1]': 0, '[0, 17]': 0, '[1, 0]': 0, '[1, 2]': 0, '[2, 1]': 0, '[2, 3]': 0, '[2, 19]': 0, '[3, 2]': 0, '[3, 4]': 0, '[4, 3]': 0, '[4, 5]': 0, '[5, 4]': 0, '[5, 6]': 0, '[5, 20]': 0, '[6, 5]': 0, '[6, 7]': 0, '[7, 6]': 0, '[7, 8]': 0, '[8, 7]': 0, '[8, 9]': 0, '[8, 21]': 0, '[9, 8]': 0, '[9, 10]': 0, '[9, 24]': 1, '[10, 9]': 0, '[10, 11]': 0, '[11, 10]': 0, '[11, 12]': 0, '[11, 22]': 0, '[12, 11]': 0, '[12, 13]': 0, '[13, 12]': 0, '[13, 14]': 0, '[14, 13]': 0, '[14, 15]': 0, '[14, 23]': 0, '[15, 14]': 0, '[15, 16]': 0, '[16, 15]': 0, '[16, 17]': 0, '[17, 0]': 0, '[17, 16]': 0, '[17, 18]': 0, '[18, 17]': 0, '[18, 19]': 0, '[18, 23]': 0, '[19, 2]': 0, '[19, 18]': 0, '[19, 20]': 0, '[20, 5]': 0, '[20, 19]': 0, '[20, 21]': 0, '[21, 8]': 0, '[21, 20]': 0, '[21, 22]': 0, '[22, 11]': 0, '[22, 21]': 0, '[22, 23]': 0, '[23, 14]': 0, '[23, 18]': 0, '[23, 22]': 0, '[24, 9]': 1, '[24, 25]': 2, '[24, 26]': 1, '[25, 24]': 2, '[26, 24]': 1}",1
24,17,38,2.235294117647059,"{'atom_type_0': 13, 'atom_type_1': 1, 'atom_type_2': 3}","{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 1, '7': 2, '8': 2, '9': 0, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 2}","{'bond_type_0': 24, 'bond_type_1': 12, 'bond_type_2': 2}","{'[0, 1]': 0, '[0, 5]': 0, '[1, 0]': 0, '[1, 2]': 0, '[2, 1]': 0, '[2, 3]': 0, '[2, 11]': 1, '[3, 2]': 0, '[3, 4]': 0, '[3, 9]': 1, '[4, 3]': 0, '[4, 5]': 0, '[5, 0]': 0, '[5, 4]': 0, '[5, 6]': 1, '[6, 5]': 1, '[6, 7]': 2, '[6, 8]': 1, '[7, 6]': 2, '[8, 6]': 1, '[9, 3]': 1, '[9, 10]': 1, '[10, 9]': 1, '[10, 11]': 0, '[10, 15]': 0, '[11, 2]': 1, '[11, 10]': 0, '[11, 12]': 0, '[12, 11]': 0, '[12, 13]': 0, '[13, 12]': 0, '[13, 14]': 0, '[14, 13]': 0, '[14, 15]': 0, '[14, 16]': 1, '[15, 10]': 0, '[15, 14]': 0, '[16, 14]': 1}",1
25,13,26,2.0,"{'atom_type_0': 6, 'atom_type_1': 2, 'atom_type_2': 4, 'atom_type_3': 0, 'atom_type_4': 0, 'atom_type_5': 1}","{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 1, '7': 2, '8': 2, '9': 1, '10': 2, '11': 2, '12': 5}","{'bond_type_0': 12, 'bond_type_1': 10, 'bond_type_2': 4}","{'[0, 1]': 0, '[0, 5]': 0, '[1, 0]': 0, '[1, 2]': 0, '[2, 1]': 0, '[2, 3]': 0, '[2, 12]': 1, '[3, 2]': 0, '[3, 4]': 0, '[3, 9]': 1, '[4, 3]': 0, '[4, 5]': 0, '[5, 0]': 0, '[5, 4]': 0, '[5, 6]': 1, '[6, 5]': 1, '[6, 7]': 2, '[6, 8]': 1, '[7, 6]': 2, '[8, 6]': 1, '[9, 3]': 1, '[9, 10]': 2, '[9, 11]': 1, '[10, 9]': 2, '[11, 9]': 1, '[12, 2]': 1}",1
26,23,54,2.347826086956522,"{'atom_type_0': 20, 'atom_type_1': 1, 'atom_type_2': 2}","{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 0, '17': 0, '18': 0, '19': 0, '20': 1, '21': 2, '22': 2}","{'bond_type_0': 48, 'bond_type_1': 4, 'bond_type_2': 2}","{'[0, 1]': 0, '[0, 5]': 0, '[1, 0]': 0, '[1, 2]': 0, '[2, 1]': 0, '[2, 3]': 0, '[3, 2]': 0, '[3, 4]': 0, '[3, 17]': 0, '[4, 3]': 0, '[4, 5]': 0, '[4, 6]': 0, '[5, 0]': 0, '[5, 4]': 0, '[6, 4]': 0, '[6, 7]': 0, '[7, 6]': 0, '[7, 8]': 0, '[7, 16]': 0, '[8, 7]': 0, '[8, 9]': 0, '[9, 8]': 0, '[9, 10]': 0, '[10, 9]': 0, '[10, 11]': 0, '[10, 15]': 0, '[11, 10]': 0, '[11, 12]': 0, '[12, 11]': 0, '[12, 13]': 0, '[13, 12]': 0, '[13, 14]': 0, '[13, 20]': 1, '[14, 13]': 0, '[14, 15]': 0, '[14, 19]': 0, '[15, 10]': 0, '[15, 14]': 0, '[15, 16]': 0, '[16, 7]': 0, '[16, 15]': 0, '[16, 17]': 0, '[17, 3]': 0, '[17, 16]': 0, '[17, 18]': 0, '[18, 17]': 0, '[18, 19]': 0, '[19, 14]': 0, '[19, 18]': 0, '[20, 13]': 1, '[20, 21]': 2, '[20, 22]': 1, '[21, 20]': 2, '[22, 20]': 1}",1
27,17,38,2.235294117647059,"{'atom_type_0': 13, 'atom_type_1': 1, 'atom_type_2': 2, 'atom_type_3': 1}","{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 1, '7': 2, '8': 2, '9': 0, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 3}","{'bond_type_0': 24, 'bond_type_1': 12, 'bond_type_2': 2}","{'[0, 1]': 0, '[0, 5]': 0, '[1, 0]': 0, '[1, 2]': 0, '[2, 1]': 0, '[2, 3]': 0, '[2, 11]': 1, '[3, 2]': 0, '[3, 4]': 0, '[3, 9]': 1, '[4, 3]': 0, '[4, 5]': 0, '[5, 0]': 0, '[5, 4]': 0, '[5, 6]': 1, '[6, 5]': 1, '[6, 7]': 2, '[6, 8]': 1, '[7, 6]': 2, '[8, 6]': 1, '[9, 3]': 1, '[9, 10]': 1, '[10, 9]': 1, '[10, 11]': 0, '[10, 15]': 0, '[11, 2]': 1, '[11, 10]': 0, '[11, 12]': 0, '[12, 11]': 0, '[12, 13]': 0, '[13, 12]': 0, '[13, 14]': 0, '[14, 13]': 0, '[14, 15]': 0, '[14, 16]': 1, '[15, 10]': 0, '[15, 14]': 0, '[16, 14]': 1}",1
28,23,50,2.1739130434782608,"{'atom_type_0': 13, 'atom_type_1': 3, 'atom_type_2': 7}","{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 1, '7': 2, '8': 2, '9': 0, '10': 2, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 0, '17': 1, '18': 2, '19': 2, '20': 1, '21': 2, '22': 2}","{'bond_type_0': 24, 'bond_type_1': 18, 'bond_type_2': 8}","{'[0, 1]': 0, '[0, 5]': 0, '[1, 0]': 0, '[1, 2]': 0, '[2, 1]': 0, '[2, 3]': 0, '[2, 12]': 1, '[3, 2]': 0, '[3, 4]': 0, '[3, 9]': 1, '[4, 3]': 0, '[4, 5]': 0, '[5, 0]': 0, '[5, 4]': 0, '[5, 6]': 1, '[6, 5]': 1, '[6, 7]': 2, '[6, 8]': 1, '[7, 6]': 2, '[8, 6]': 1, '[9, 3]': 1, '[9, 10]': 2, '[9, 11]': 1, '[10, 9]': 2, '[11, 9]': 1, '[11, 12]': 0, '[11, 16]': 0, '[12, 2]': 1, '[12, 11]': 0, '[12, 13]': 0, '[13, 12]': 0, '[13, 14]': 0, '[13, 20]': 1, '[14, 13]': 0, '[14, 15]': 0, '[15, 14]': 0, '[15, 16]': 0, '[15, 17]': 1, '[16, 11]': 0, '[16, 15]': 0, '[17, 15]': 1, '[17, 18]': 2, '[17, 19]': 1, '[18, 17]': 2, '[19, 17]': 1, '[20, 13]': 1, '[20, 21]': 2, '[20, 22]': 1, '[21, 20]': 2, '[22, 20]': 1}",1
29,23,54,2.347826086956522,"{'atom_type_0': 20, 'atom_type_1': 1, 'atom_type_2': 2}","{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 0, '17': 0, '18': 0, '19': 0, '20': 1, '21': 2, '22': 2}","{'bond_type_0': 42, 'bond_type_1': 8, 'bond_type_2': 4}","{'[0, 1]': 0, '[0, 17]': 0, '[1, 0]': 0, '[1, 2]': 0, '[2, 1]': 0, '[2, 3]': 0, '[3, 2]': 0, '[3, 4]': 0, '[3, 16]': 0, '[4, 3]': 0, '[4, 5]': 0, '[5, 4]': 0, '[5, 6]': 0, '[5, 14]': 0, '[6, 5]': 0, '[6, 7]': 0, '[6, 11]': 0, '[7, 6]': 0, '[7, 8]': 0, '[8, 7]': 0, '[8, 9]': 0, '[9, 8]': 0, '[9, 10]': 0, '[10, 9]': 0, '[10, 11]': 0, '[10, 19]': 1, '[11, 6]': 0, '[11, 10]': 0, '[11, 12]': 0, '[12, 11]': 0, '[12, 13]': 0, '[12, 18]': 1, '[13, 12]': 0, '[13, 14]': 0, '[14, 5]': 0, '[14, 13]': 0, '[14, 15]': 0, '[15, 14]': 0, '[15, 16]': 0, '[16, 3]': 0, '[16, 15]': 0, '[16, 17]': 0, '[17, 0]': 0, '[17, 16]': 0, '[18, 12]': 1, '[18, 19]': 2, '[19, 10]': 1, '[19, 18]': 2, '[19, 20]': 1, '[20, 19]': 1, '[20, 21]': 2, '[20, 22]': 1, '[21, 20]': 2, '[22, 20]': 1}",1
30,22,50,2.272727272727273,"{'atom_type_0': 16, 'atom_type_1': 2, 'atom_type_2': 4}","{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 1, '17': 2, '18': 2, '19': 1, '20': 2, '21': 2}","{'bond_type_0': 34, 'bond_type_1': 12, 'bond_type_2': 4}","{'[0, 1]': 0, '[0, 5]': 0, '[1, 0]': 0, '[1, 2]': 0, '[2, 1]': 0, '[2, 3]': 0, '[3, 2]': 0, '[3, 4]': 0, '[3, 12]': 1, '[4, 3]': 0, '[4, 5]': 0, '[4, 6]': 1, '[5, 0]': 0, '[5, 4]': 0, '[6, 4]': 1, '[6, 7]': 0, '[6, 11]': 0, '[7, 6]': 0, '[7, 8]': 0, '[8, 7]': 0, '[8, 9]': 0, '[9, 8]': 0, '[9, 10]': 0, '[10, 9]': 0, '[10, 11]': 0, '[10, 15]': 0, '[11, 6]': 0, '[11, 10]': 0, '[11, 12]': 0, '[12, 3]': 1, '[12, 11]': 0, '[12, 13]': 0, '[13, 12]': 0, '[13, 14]': 0, '[13, 19]': 1, '[14, 13]': 0, '[14, 15]': 0, '[14, 16]': 1, '[15, 10]': 0, '[15, 14]': 0, '[16, 14]': 1, '[16, 17]': 2, '[16, 18]': 1, '[17, 16]': 2, '[18, 16]': 1, '[19, 13]': 1, '[19, 20]': 2, '[19, 21]': 1, '[20, 19]': 2, '[21, 19]': 1}",1
31,24,50,2.0833333333333335,"{'atom_type_0': 12, 'atom_type_1': 4, 'atom_type_2': 8}","{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 1, '13': 2, '14': 2, '15': 1, '16': 2, '17': 2, '18': 1, '19': 2, '20': 2, '21': 1, '22': 2, '23': 2}","{'bond_type_0': 24, 'bond_type_1': 18, 'bond_type_2': 8}","{'[0, 1]': 0, '[0, 5]': 0, '[1, 0]': 0, '[1, 2]': 0, '[2, 1]': 0, '[2, 3]': 0, '[2, 21]': 1, '[3, 2]': 0, '[3, 4]': 0, '[3, 18]': 1, '[4, 3]': 0, '[4, 5]': 0, '[5, 0]': 0, '[5, 4]': 0, '[5, 6]': 1, '[6, 5]': 1, '[6, 7]': 0, '[6, 11]': 0, '[7, 6]': 0, '[7, 8]': 0, '[8, 7]': 0, '[8, 9]': 0, '[9, 8]': 0, '[9, 10]': 0, '[9, 15]': 1, '[10, 9]': 0, '[10, 11]': 0, '[11, 6]': 0, '[11, 10]': 0, '[11, 12]': 1, '[12, 11]': 1, '[12, 13]': 2, '[12, 14]': 1, '[13, 12]': 2, '[14, 12]': 1, '[15, 9]': 1, '[15, 16]': 2, '[15, 17]': 1, '[16, 15]': 2, '[17, 15]': 1, '[18, 3]': 1, '[18, 19]': 2, '[18, 20]': 1, '[19, 18]': 2, '[20, 18]': 1, '[21, 2]': 1, '[21, 22]': 2, '[21, 23]': 1, '[22, 21]': 2, '[23, 21]': 1}",1
32,23,50,2.1739130434782608,"{'atom_type_0': 15, 'atom_type_1': 2, 'atom_type_2': 3, 'atom_type_3': 3}","{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 1, '7': 0, '8': 2, '9': 0, '10': 3, '11': 3, '12': 3, '13': 0, '14': 0, '15': 0, '16': 0, '17': 0, '18': 0, '19': 0, '20': 1, '21': 2, '22': 2}","{'bond_type_0': 24, 'bond_type_1': 22, 'bond_type_2': 4}","{'[0, 1]': 0, '[0, 5]': 0, '[1, 0]': 0, '[1, 2]': 0, '[2, 1]': 0, '[2, 3]': 0, '[2, 15]': 1, '[3, 2]': 0, '[3, 4]': 0, '[3, 13]': 1, '[4, 3]': 0, '[4, 5]': 0, '[5, 0]': 0, '[5, 4]': 0, '[5, 6]': 1, '[6, 5]': 1, '[6, 7]': 1, '[7, 6]': 1, '[7, 8]': 2, '[7, 9]': 1, '[8, 7]': 2, '[9, 7]': 1, '[9, 10]': 1, '[9, 11]': 1, '[9, 12]': 1, '[10, 9]': 1, '[11, 9]': 1, '[12, 9]': 1, '[13, 3]': 1, '[13, 14]': 1, '[14, 13]': 1, '[14, 15]': 0, '[14, 19]': 0, '[15, 2]': 1, '[15, 14]': 0, '[15, 16]': 0, '[16, 15]': 0, '[16, 17]': 0, '[17, 16]': 0, '[17, 18]': 0, '[18, 17]': 0, '[18, 19]': 0, '[18, 20]': 1, '[19, 14]': 0, '[19, 18]': 0, '[20, 18]': 1, '[20, 21]': 2, '[20, 22]': 1, '[21, 20]': 2, '[22, 20]': 1}",1
33,13,28,2.1538461538461537,"{'atom_type_0': 10, 'atom_type_1': 1, 'atom_type_2': 2}","{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 1, '11': 2, '12': 2}","{'bond_type_0': 22, 'bond_type_1': 4, 'bond_type_2': 2}","{'[0, 1]': 0, '[0, 9]': 0, '[1, 0]': 0, '[1, 2]': 0, '[2, 1]': 0, '[2, 3]': 0, '[3, 2]': 0, '[3, 4]': 0, '[3, 8]': 0, '[4, 3]': 0, '[4, 5]': 0, '[5, 4]': 0, '[5, 6]': 0, '[5, 10]': 1, '[6, 5]': 0, '[6, 7]': 0, '[7, 6]': 0, '[7, 8]': 0, '[8, 3]': 0, '[8, 7]': 0, '[8, 9]': 0, '[9, 0]': 0, '[9, 8]': 0, '[10, 5]': 1, '[10, 11]': 2, '[10, 12]': 1, '[11, 10]': 2, '[12, 10]': 1}",0
34,17,38,2.235294117647059,"{'atom_type_0': 13, 'atom_type_1': 2, 'atom_type_2': 2}","{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 1, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0, '13': 0, '14': 1, '15': 2, '16': 2}","{'bond_type_0': 24, 'bond_type_1': 12, 'bond_type_2': 2}","{'[0, 1]': 0, '[0, 5]': 0, '[1, 0]': 0, '[1, 2]': 0, '[2, 1]': 0, '[2, 3]': 0, '[2, 9]': 1, '[3, 2]': 0, '[3, 4]': 0, '[3, 7]': 1, '[4, 3]': 0, '[4, 5]': 0, '[5, 0]': 0, '[5, 4]': 0, '[5, 6]': 1, '[6, 5]': 1, '[7, 3]': 1, '[7, 8]': 1, '[8, 7]': 1, '[8, 9]': 0, '[8, 13]': 0, '[9, 2]': 1, '[9, 8]': 0, '[9, 10]': 0, '[10, 9]': 0, '[10, 11]': 0, '[11, 10]': 0, '[11, 12]': 0, '[12, 11]': 0, '[12, 13]': 0, '[12, 14]': 1, '[13, 8]': 0, '[13, 12]': 0, '[14, 12]': 1, '[14, 15]': 2, '[14, 16]': 1, '[15, 14]': 2, '[16, 14]': 1}",1
35,14,30,2.142857142857143,"{'atom_type_0': 11, 'atom_type_1': 1, 'atom_type_2': 2}","{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 1, '12': 2, '13': 2}","{'bond_type_0': 22, 'bond_type_1': 6, 'bond_type_2': 2}","{'[0, 1]': 1, '[1, 0]': 1, '[1, 2]': 0, '[1, 10]': 0, '[2, 1]': 0, '[2, 3]': 0, '[3, 2]': 0, '[3, 4]': 0, '[3, 8]': 0, '[4, 3]': 0, '[4, 5]': 0, '[5, 4]': 0, '[5, 6]': 0, '[6, 5]': 0, '[6, 7]': 0, '[7, 6]': 0, '[7, 8]': 0, '[8, 3]': 0, '[8, 7]': 0, '[8, 9]': 0, '[9, 8]': 0, '[9, 10]': 0, '[10, 1]': 0, '[10, 9]': 0, '[10, 11]': 1, '[11, 10]': 1, '[11, 12]': 2, '[11, 13]': 1, '[12, 11]': 2, '[13, 11]': 1}",0
36,17,36,2.1176470588235294,"{'atom_type_0': 14, 'atom_type_1': 1, 'atom_type_2': 2}","{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0, '13': 0, '14': 1, '15': 2, '16': 2}","{'bond_type_0': 24, 'bond_type_1': 8, 'bond_type_2': 4}","{'[0, 1]': 0, '[0, 5]': 0, '[1, 0]': 0, '[1, 2]': 0, '[2, 1]': 0, '[2, 3]': 0, '[3, 2]': 0, '[3, 4]': 0, '[3, 6]': 1, '[4, 3]': 0, '[4, 5]': 0, '[5, 0]': 0, '[5, 4]': 0, '[6, 3]': 1, '[6, 7]': 2, '[7, 6]': 2, '[7, 8]': 1, '[8, 7]': 1, '[8, 9]': 0, '[8, 13]': 0, '[9, 8]': 0, '[9, 10]': 0, '[10, 9]': 0, '[10, 11]': 0, '[11, 10]': 0, '[11, 12]': 0, '[11, 14]': 1, '[12, 11]': 0, '[12, 13]': 0, '[13, 8]': 0, '[13, 12]': 0, '[14, 11]': 1, '[14, 15]': 2, '[14, 16]': 1, '[15, 14]': 2, '[16, 14]': 1}",1
37,15,32,2.1333333333333333,"{'atom_type_0': 12, 'atom_type_1': 1, 'atom_type_2': 2}","{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 1, '13': 2, '14': 2}","{'bond_type_0': 24, 'bond_type_1': 6, 'bond_type_2': 2}","{'[0, 1]': 0, '[0, 5]': 0, '[1, 0]': 0, '[1, 2]': 0, '[2, 1]': 0, '[2, 3]': 0, '[3, 2]': 0, '[3, 4]': 0, '[3, 6]': 1, '[4, 3]': 0, '[4, 5]': 0, '[5, 0]': 0, '[5, 4]': 0, '[6, 3]': 1, '[6, 7]': 0, '[6, 11]': 0, '[7, 6]': 0, '[7, 8]': 0, '[8, 7]': 0, '[8, 9]': 0, '[9, 8]': 0, '[9, 10]': 0, '[9, 12]': 1, '[10, 9]': 0, '[10, 11]': 0, '[11, 6]': 0, '[11, 10]': 0, '[12, 9]': 1, '[12, 13]': 2, '[12, 14]': 1, '[13, 12]': 2, '[14, 12]': 1}",0
38,15,32,2.1333333333333333,"{'atom_type_0': 10, 'atom_type_1': 2, 'atom_type_2': 3}","{'0': 0, '1': 2, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 1, '9': 0, '10': 0, '11': 0, '12': 1, '13': 2, '14': 2}","{'bond_type_0': 22, 'bond_type_1': 8, 'bond_type_2': 2}","{'[0, 1]': 1, '[1, 0]': 1, '[1, 2]': 1, '[2, 1]': 1, '[2, 3]': 0, '[2, 11]': 0, '[3, 2]': 0, '[3, 4]': 0, '[4, 3]': 0, '[4, 5]': 0, '[4, 9]': 0, '[5, 4]': 0, '[5, 6]': 0, '[6, 5]': 0, '[6, 7]': 0, '[7, 6]': 0, '[7, 8]': 0, '[8, 7]': 0, '[8, 9]': 0, '[9, 4]': 0, '[9, 8]': 0, '[9, 10]': 0, '[10, 9]': 0, '[10, 11]': 0, '[10, 12]': 1, '[11, 2]': 0, '[11, 10]': 0, '[12, 10]': 1, '[12, 13]': 2, '[12, 14]': 1, '[13, 12]': 2, '[14, 12]': 1}",0
39,13,28,2.1538461538461537,"{'atom_type_0': 10, 'atom_type_1': 1, 'atom_type_2': 2}","{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 1, '11': 2, '12': 2}","{'bond_type_0': 22, 'bond_type_1': 4, 'bond_type_2': 2}","{'[0, 1]': 0, '[0, 5]': 0, '[1, 0]': 0, '[1, 2]': 0, '[2, 1]': 0, '[2, 3]': 0, '[3, 2]': 0, '[3, 4]': 0, '[3, 9]': 0, '[4, 3]': 0, '[4, 5]': 0, '[4, 6]': 0, '[5, 0]': 0, '[5, 4]': 0, '[6, 4]': 0, '[6, 7]': 0, '[7, 6]': 0, '[7, 8]': 0, '[8, 7]': 0, '[8, 9]': 0, '[9, 3]': 0, '[9, 8]': 0, '[9, 10]': 1, '[10, 9]': 1, '[10, 11]': 2, '[10, 12]': 1, '[11, 10]': 2, '[12, 10]': 1}",0
40,17,38,2.235294117647059,"{'atom_type_0': 13, 'atom_type_1': 1, 'atom_type_2': 2, 'atom_type_3': 0, 'atom_type_4': 0, 'atom_type_5': 0, 'atom_type_6': 1}","{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 1, '7': 2, '8': 2, '9': 0, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 6}","{'bond_type_0': 24, 'bond_type_1': 12, 'bond_type_2': 2}","{'[0, 1]': 0, '[0, 5]': 0, '[1, 0]': 0, '[1, 2]': 0, '[2, 1]': 0, '[2, 3]': 0, '[2, 11]': 1, '[3, 2]': 0, '[3, 4]': 0, '[3, 9]': 1, '[4, 3]': 0, '[4, 5]': 0, '[5, 0]': 0, '[5, 4]': 0, '[5, 6]': 1, '[6, 5]': 1, '[6, 7]': 2, '[6, 8]': 1, '[7, 6]': 2, '[8, 6]': 1, '[9, 3]': 1, '[9, 10]': 1, '[10, 9]': 1, '[10, 11]': 0, '[10, 15]': 0, '[11, 2]': 1, '[11, 10]': 0, '[11, 12]': 0, '[12, 11]': 0, '[12, 13]': 0, '[13, 12]': 0, '[13, 14]': 0, '[14, 13]': 0, '[14, 15]': 0, '[14, 16]': 1, '[15, 10]': 0, '[15, 14]': 0, '[16, 14]': 1}",1
41,13,28,2.1538461538461537,"{'atom_type_0': 8, 'atom_type_1': 3, 'atom_type_2': 2}","{'0': 0, '1': 1, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 1, '10': 1, '11': 2, '12': 2}","{'bond_type_0': 0, 'bond_type_1': 18, 'bond_type_2': 10}","{'[0, 1]': 1, '[1, 0]': 1, '[1, 2]': 2, '[1, 9]': 1, '[2, 1]': 2, '[2, 3]': 1, '[3, 2]': 1, '[3, 4]': 1, '[3, 8]': 1, '[4, 3]': 1, '[4, 5]': 2, '[5, 4]': 2, '[5, 6]': 1, '[5, 10]': 1, '[6, 5]': 1, '[6, 7]': 2, '[7, 6]': 2, '[7, 8]': 1, '[8, 3]': 1, '[8, 7]': 1, '[8, 9]': 2, '[9, 1]': 1, '[9, 8]': 2, '[10, 5]': 1, '[10, 11]': 2, '[10, 12]': 1, '[11, 10]': 2, '[12, 10]': 1}",0
42,19,44,2.3157894736842106,"{'atom_type_0': 16, 'atom_type_1': 1, 'atom_type_2': 2}","{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 1, '17': 2, '18': 2}","{'bond_type_0': 34, 'bond_type_1': 8, 'bond_type_2': 2}","{'[0, 1]': 0, '[0, 5]': 0, '[1, 0]': 0, '[1, 2]': 0, '[2, 1]': 0, '[2, 3]': 0, '[3, 2]': 0, '[3, 4]': 0, '[3, 12]': 1, '[4, 3]': 0, '[4, 5]': 0, '[4, 6]': 1, '[5, 0]': 0, '[5, 4]': 0, '[6, 4]': 1, '[6, 7]': 0, '[6, 11]': 0, '[7, 6]': 0, '[7, 8]': 0, '[8, 7]': 0, '[8, 9]': 0, '[9, 8]': 0, '[9, 10]': 0, '[10, 9]': 0, '[10, 11]': 0, '[10, 15]': 0, '[11, 6]': 0, '[11, 10]': 0, '[11, 12]': 0, '[12, 3]': 1, '[12, 11]': 0, '[12, 13]': 0, '[13, 12]': 0, '[13, 14]': 0, '[14, 13]': 0, '[14, 15]': 0, '[14, 16]': 1, '[15, 10]': 0, '[15, 14]': 0, '[16, 14]': 1, '[16, 17]': 2, '[16, 18]': 1, '[17, 16]': 2, '[18, 16]': 1}",1
